tag,task,score,auroc,aurc
D_cifar10_smallcnn,misclassification,max_softmax,0.8302866620993852,0.07521347179506283
D_cifar10_smallcnn,misclassification,neg_entropy,0.8141569319735782,0.07961560520430304
D_cifar10_smallcnn,misclassification,argmax_only,0.5,0.23160000000000003
D_cifar10_smallcnn,ood_svhn,logit_probe,0.9973998749999998,0.015256062243776014
D_cifar10_smallcnn,ood_svhn,energy,0.371562025,0.17821185154673463
D_cifar10_smallcnn,ood_svhn,margin,0.6056324,0.1065705854929772
D_cifar10_smallcnn,ood_svhn,max_softmax,0.5892925499999999,0.10949608295972076
D_cifar10_smallcnn,ood_svhn,neg_entropy,0.57208035,0.11155912353987146
D_cifar10_smallcnn,ood_svhn,argmax_only,0.5,0.16666666666666663
D_cifar10_smallcnn,ood_cifar100,logit_probe,0.6869675000000001,0.09239352203572267
D_cifar10_smallcnn,ood_cifar100,energy,0.7379347,0.07386681911266996
D_cifar10_smallcnn,ood_cifar100,margin,0.6991855,0.08286943266035177
D_cifar10_smallcnn,ood_cifar100,max_softmax,0.733208725,0.07501402772971685
D_cifar10_smallcnn,ood_cifar100,neg_entropy,0.7499437499999999,0.07107117261259055
D_cifar10_smallcnn,ood_cifar100,argmax_only,0.5,0.16666666666666663
D_cifar10_smallcnn,ood_gaussian,logit_probe,1.0,0.014732035792846454
D_cifar10_smallcnn,ood_gaussian,energy,0.09969685,0.32020602784589103
D_cifar10_smallcnn,ood_gaussian,margin,0.540950675,0.1090685130571477
D_cifar10_smallcnn,ood_gaussian,max_softmax,0.476234425,0.126509507978573
D_cifar10_smallcnn,ood_gaussian,neg_entropy,0.44217854999999995,0.13658833922548394
D_cifar10_smallcnn,ood_gaussian,argmax_only,0.5,0.16666666666666663
E_cifar10_resnet18,misclassification,logit_probe,0.7774481460344553,0.048945091950133635
E_cifar10_resnet18,misclassification,energy,0.8659176659081715,0.030084076756941185
E_cifar10_resnet18,misclassification,margin,0.8830516190442408,0.02683886739310805
E_cifar10_resnet18,misclassification,max_softmax,0.8843353396412572,0.026988170900667484
E_cifar10_resnet18,misclassification,neg_entropy,0.8855527223571006,0.026460710628644506
E_cifar10_resnet18,misclassification,argmax_only,0.5,0.13260000000000005
E_cifar10_resnet18,ood_svhn,logit_probe,0.9938888,0.015804808620568885
E_cifar10_resnet18,ood_svhn,energy,0.8280602749999999,0.0465284612103133
E_cifar10_resnet18,ood_svhn,margin,0.81166995,0.05046263558357141
E_cifar10_resnet18,ood_svhn,max_softmax,0.814221,0.05043915206147621
E_cifar10_resnet18,ood_svhn,neg_entropy,0.8164278,0.0494963700471602
E_cifar10_resnet18,ood_svhn,argmax_only,0.5,0.16666666666666663
E_cifar10_resnet18,ood_cifar100,logit_probe,0.7899848999999999,0.05971175164493587
E_cifar10_resnet18,ood_cifar100,energy,0.829894675,0.04978908140155934
E_cifar10_resnet18,ood_cifar100,margin,0.7937810999999999,0.056244161814742955
E_cifar10_resnet18,ood_cifar100,max_softmax,0.7963536250000001,0.061516158347264475
E_cifar10_resnet18,ood_cifar100,neg_entropy,0.80003185,0.05514886858295326
E_cifar10_resnet18,ood_cifar100,argmax_only,0.5,0.16666666666666663
E_cifar10_resnet18,ood_gaussian,logit_probe,0.9997499249999999,0.01477353775073824
E_cifar10_resnet18,ood_gaussian,energy,0.788007675,0.054281634467732556
E_cifar10_resnet18,ood_gaussian,margin,0.8056034,0.0511723717581585
E_cifar10_resnet18,ood_gaussian,max_softmax,0.806900725,0.05124514789615437
E_cifar10_resnet18,ood_gaussian,neg_entropy,0.8077114750000001,0.05069558545869314
E_cifar10_resnet18,ood_gaussian,argmax_only,0.5,0.16666666666666663
F_cifar100_resnet18,misclassification,logit_probe,0.7036980117706699,0.2612734356056196
F_cifar100_resnet18,misclassification,energy,0.8017581185010138,0.1999033223741556
F_cifar100_resnet18,misclassification,margin,0.8171609429949194,0.18183072710471995
F_cifar100_resnet18,misclassification,max_softmax,0.828397458114694,0.1774481159025064
F_cifar100_resnet18,misclassification,neg_entropy,0.834315150535749,0.17537608981085845
F_cifar100_resnet18,misclassification,argmax_only,0.5,0.4131
F_cifar100_resnet18,ood_svhn,logit_probe,0.9988405749999998,0.014928827664517258
F_cifar100_resnet18,ood_svhn,energy,0.6760417000000001,0.08195552655637213
F_cifar100_resnet18,ood_svhn,margin,0.628522175,0.10161986422747779
F_cifar100_resnet18,ood_svhn,max_softmax,0.6449907749999999,0.09697720504575875
F_cifar100_resnet18,ood_svhn,neg_entropy,0.6581911,0.09406070779852588
F_cifar100_resnet18,ood_svhn,argmax_only,0.5,0.16666666666666663
F_cifar100_resnet18,ood_cifar10,logit_probe,0.788136175,0.0598061733862673
F_cifar100_resnet18,ood_cifar10,energy,0.693322825,0.08765025495775182
F_cifar100_resnet18,ood_cifar10,margin,0.66482735,0.09052108631865864
F_cifar100_resnet18,ood_cifar10,max_softmax,0.6769656000000001,0.0881062532436638
F_cifar100_resnet18,ood_cifar10,neg_entropy,0.68730615,0.08592901314048565
F_cifar100_resnet18,ood_cifar10,argmax_only,0.5,0.16666666666666663
F_cifar100_resnet18,ood_gaussian,logit_probe,1.0,0.014732035792846454
F_cifar100_resnet18,ood_gaussian,energy,0.36503969999999997,0.17174498785310682
F_cifar100_resnet18,ood_gaussian,margin,0.5650022,0.11586333246301458
F_cifar100_resnet18,ood_gaussian,max_softmax,0.5627103250000001,0.11484047884800558
F_cifar100_resnet18,ood_gaussian,neg_entropy,0.5611201,0.11465371547049916
F_cifar100_resnet18,ood_gaussian,argmax_only,0.5,0.16666666666666663
G_cifar10_resnet18_ls,misclassification,logit_probe,0.6766610745821722,0.0657511001004249
G_cifar10_resnet18_ls,misclassification,energy,0.8481474416213437,0.03846853739094429
G_cifar10_resnet18_ls,misclassification,margin,0.8613832291582109,0.0347383057787812
G_cifar10_resnet18_ls,misclassification,max_softmax,0.8607742782152231,0.035680197754793246
G_cifar10_resnet18_ls,misclassification,neg_entropy,0.8609392447078136,0.035672512554258025
G_cifar10_resnet18_ls,misclassification,argmax_only,0.5,0.127
G_cifar10_resnet18_ls,ood_svhn,logit_probe,0.9554250249999999,0.022905365019417066
G_cifar10_resnet18_ls,ood_svhn,energy,0.8222440249999999,0.05247898449063672
G_cifar10_resnet18_ls,ood_svhn,margin,0.81741225,0.05586216097098267
G_cifar10_resnet18_ls,ood_svhn,max_softmax,0.81725365,0.05770511011083694
G_cifar10_resnet18_ls,ood_svhn,neg_entropy,0.817224475,0.057699702899860275
G_cifar10_resnet18_ls,ood_svhn,argmax_only,0.5,0.16666666666666663
G_cifar10_resnet18_ls,ood_cifar100,logit_probe,0.64644245,0.10007529683176099
G_cifar10_resnet18_ls,ood_cifar100,energy,0.78792785,0.06832625052894625
G_cifar10_resnet18_ls,ood_cifar100,margin,0.79210455,0.06632303157179514
G_cifar10_resnet18_ls,ood_cifar100,max_softmax,0.7950053,0.06830834729427035
G_cifar10_resnet18_ls,ood_cifar100,neg_entropy,0.7979132249999998,0.06787519793997505
G_cifar10_resnet18_ls,ood_cifar100,argmax_only,0.5,0.16666666666666663
G_cifar10_resnet18_ls,ood_gaussian,logit_probe,0.9885767750000001,0.016781070346171927
G_cifar10_resnet18_ls,ood_gaussian,energy,0.665532875,0.10137176033578763
G_cifar10_resnet18_ls,ood_gaussian,margin,0.7167833750000001,0.07967934589476228
G_cifar10_resnet18_ls,ood_gaussian,max_softmax,0.70136065,0.09101775800799704
G_cifar10_resnet18_ls,ood_gaussian,neg_entropy,0.7021531000000001,0.0910700466128906
G_cifar10_resnet18_ls,ood_gaussian,argmax_only,0.5,0.16666666666666663
